,Unnamed: 0,PMID,abstract,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
54,54,34291803,"Simultaneous alcohol and marijuana (SAM) use is increasingly prevalent among young adults but has adverse health consequences. The current study examined daily-level associations between perceived sleep health and SAM use, relative to non-substance-use days and alcohol- or marijuana-only days. We also estimated linear associations between alcohol/marijuana use and perceived sleep health and explored whether effects were moderated by combined use of alcohol and marijuana. A community sample of SAM-using young adults (N = 409; Mage = 21.61, SD = 2.17; 50.9% female; 48.2% White; 48.9% college students) completed twice-daily surveys for five 14-day sampling bursts. Daily measurements assessed substance use and perceived sleep health in terms of subjective sleep quality, negative impact of sleep on functioning, and symptoms of insomnia. Multilevel models indicated that, relative to non-substance-use days, participants reported poorer perceived sleep health on alcohol-only days, better perceived sleep health on marijuana-only days, and mixed evidence regarding SAM use (i.e. fewer perceived symptoms of insomnia, but poorer perceived next day functioning attributed to sleep). Daily-level estimates showed increased alcohol use was associated with poorer perceived sleep health, while stronger effects from marijuana were associated with better perceived sleep health. Across all indices of sleep health, only one linear association was moderated by combined use: The adverse association between alcohol and next day functioning was weaker on days alcohol was combined with marijuana. Findings provide additional evidence for daily-level effects of alcohol and marijuana use on perceived sleep health and address an important literature gap regarding potential adverse effects of SAM use. ","Daily-level effects of alcohol, marijuana, and simultaneous use on young adults' perceived sleep health","Graupensperger S, Fairlie AM, Vitiello MV, Kilmer JR, Larimer ME, Patrick ME, Lee CM.",Sleep. 2021 Dec 10;44(12):zsab187. doi: 10.1093/sleep/zsab187.,Graupensperger S,Sleep,2021,2021/07/22,PMC8664594,,10.1093/sleep/zsab187
55,55,23732102,"Originally used in Asia for the treatment of pain, spasms, nausea and insomnia, marijuana is the most consumed psychotropic drug worldwide. The interest of medical cannabis has been reconsidered recently, leading to many scientific researches and commercialization of these drugs. Natural and synthetic cannabinoids display beneficial antiemetic, anti-inflammatory and analgesic effects in numerous diseases, however accompanied with undesirable effects due to the CB1 receptor. Present researches focus on the design of therapeutical molecules targeting the CB2 receptors, and thus avoiding central side effects and therefore psychotropic effects caused by the CB1 receptor. ",[From cannabis to selective CB2R agonists: molecules with numerous therapeutical virtues],"Leleu-Chavain N, Biot C, Chavatte P, Millet R.",Med Sci (Paris). 2013 May;29(5):523-8. doi: 10.1051/medsci/2013295016. Epub 2013 May 28.,Leleu-Chavain N,Med Sci (Paris),2013,2013/06/05,,,10.1051/medsci/2013295016
56,56,30291748,"To understand patterns of marijuana use in community-dwelling older adults in Colorado. Anonymous survey. Two academic geriatric primary care clinics. English-speaking individuals. We assessed self-reported characteristics and patterns of marijuana use and effect on targeted symptoms. Survey analysis focused on current users, defined as individuals who had used marijuana in the past 3 years. Three hundred forty-five individuals completed the survey (55% response rate); 113 (32%) had used marijuana in the past, of whom 55 (16%) had used since legalization. More than half of current users were aged 75 and older, and one-quarter were aged 85 and older. Most current users were white women. Of current users, 44% used marijuana products at least weekly for common conditions including chronic pain, depression, anxiety, and insomnia, and most found marijuana helpful for these conditions. Most respondents reported obtaining marijuana recreationally (67%) without a prescription. Nine respondents reported negative side effects attributable to marijuana use. To our knowledge, this is the first study to characterize marijuana use of older adults in a state in which it is legal for medical and recreational use. Marijuana was used for several common geriatric conditions, and respondents reported few side effects. The small number of survey respondents, the lack of generalizability in states where marijuana sales are illegal, and participation bias were the main study limitations. Further research is needed to better understand useful or harmful effects in this population. J Am Geriatr Soc 66:2167-2171, 2018. ",Characteristics and Patterns of Marijuana Use in Community-Dwelling Older Adults,"Reynolds IR, Fixen DR, Parnes BL, Lum HD, Shanbhag P, Church S, Linnebur SA, Orosz G.",J Am Geriatr Soc. 2018 Nov;66(11):2167-2171. doi: 10.1111/jgs.15507. Epub 2018 Oct 6.,Reynolds IR,J Am Geriatr Soc,2018,2018/10/07,PMC6476562,NIHMS1021002,10.1111/jgs.15507
57,57,27768570,"Anxiety and sleep disorders are often the result of posttraumatic stress disorder and can contribute to an impaired ability to focus and to demonstration of oppositional behaviors. These symptoms were present in our patient, a ten-year-old girl who was sexually abused and had minimal parental supervision as a young child under the age of five. Pharmaceutical medications provided partial relief, but results were not long-lasting, and there were major side effects. A trial of cannabidiol oil resulted in a maintained decrease in anxiety and a steady improvement in the quality and quantity of the patient's sleep. Cannabidiol oil, an increasingly popular treatment of anxiety and sleep issues, has been documented as being an effective alternative to pharmaceutical medications. This case study provides clinical data that support the use of cannabidiol oil as a safe treatment for reducing anxiety and improving sleep in a young girl with posttraumatic stress disorder. ",Effectiveness of Cannabidiol Oil for Pediatric Anxiety and Insomnia as Part of Posttraumatic Stress Disorder: A Case Report,"Shannon S, Opila-Lehman J.",Perm J. 2016 Fall;20(4):16-005. doi: 10.7812/TPP/16-005. Epub 2016 Oct 12.,Shannon S,Perm J,2016,2016/10/22,PMC5101100,,10.7812/TPP/16-005
58,58,31573659,"Patients with psychiatric conditions are increasingly using cannabinoids, particularly cannabidiol (CBD), to treat their own symptoms. After reviewing the mechanism of action of CBD, the current article examines the existing evidence for CBD in the treatment of schizophrenia, anxiety, autism, posttraumatic stress disorder, and insomnia, and discusses the challenges in translating these studies, often using very high doses of CBD, into clinical practice. Until additional, well-designed studies that examine the more common practice of lower doses of CBD are performed, a harm-reduction, patient-centered, empiric approach is encouraged to optimize symptom reduction while at the same time avoiding the known risks of cannabis. [Journal of Psychosocial Nursing and Mental Health Services, 57(10), 7-11.]. ","Cannabinoids and Mental Health, Part 2: The Search for Clinical Applications",Penn A.,J Psychosoc Nurs Ment Health Serv. 2019 Oct 1;57(10):7-11. doi: 10.3928/02793695-20190919-02.,Penn A,J Psychosoc Nurs Ment Health Serv,2019,2019/10/02,,,10.3928/02793695-20190919-02
59,59,32899692,"Sleep disorders are often associated with drug use. Nearly 70% of patients admitted for detoxification report sleep problems. Dual disorder (DD) is the comorbidity between mental disorders in general and disorders related to psychoactive substance use. The association between substance use and sleep disorders (SD) appears to be bidirectional. Our objective is to analyze the association between sleep disturbance history and drug use pattern (alcohol, cannabis, opioids, and cocaine). Analysis of data in the first interview at the Addictions Unit of the Department of Psychiatry at the University of Salamanca Health Care Complex between October 2017 and January 2020. The sample consists of 398 patients. We studied the association between different variables: origin of patients (Inpatient Dual Diagnosis Detoxification Unit (IDDDU) vs. Outpatient Drug Clinic (ODC), presence of affective disorder, psychotic disorder, type of drug used, and treatment. Of patients with DD, 62% had more delayed sleep induction, sleep fragmentation, early awakening, and nightmares. Outpatients had more difficulty falling asleep because, in many cases, they had not previously sought any medical assistance. On the other hand, 67% of the patients with insomnia presented depression. There is evidence of a harmful association between DD and SD. ",The Relevance of Dual Diagnoses among Drug-Dependent Patients with Sleep Disorders,"Roncero C, García-Ullán L, Bullón A, Remón-Gallo D, Vicente-Hernández B, Álvarez A, Caldero A, Flores A, Aguilar L.",J Clin Med. 2020 Sep 4;9(9):2862. doi: 10.3390/jcm9092862.,Roncero C,J Clin Med,2020,2020/09/09,PMC7565704,,10.3390/jcm9092862
60,60,37279315,"Introduction Borderline personality disorder (BPD) is associated with many unhealthy behaviors. Psychoactive substance (alcohol and drugs) use is present in 78% of adults with BPD. Moreover, a poor sleep seems linked to the clinical profile of adults with BPD. Finally, some physical comorbid disorders like obesity, cardiovascular diseases, and diabetes are linked to physical inactivity and sedentary behaviors. However, to this day no study analyzed these behaviors in French-speaking individuals with BPD. Objectives This study's goal is to document health behaviors in adults with BPD in Canada and in France. Method This cross-sectional study consists of an online survey on the LimeSurvey platform including validated questionnaires distributed in France and Canada. To measure physical activity, we used the ""Global Physical Activity Questionnaire."" Insomnia was measured with the ""Insomnia Severity Index."" Substance use was measured with the ""Alcohol, Smoking and Substance Involvement Test."" Descriptive statistics (N,% and mean) are used to describe previously mentioned health behaviors. Five regression models have been realized to find the main associated variables (age, perceived social status, education level, household income, body mass index, emotional regulation difficulties, BPD symptoms, depression level, previous suicide attempts and psychotropic medication use) to health behaviors. Results A total of 167 participants (92 Canadians, 75 French; 146 women, 21 men) filled out the online survey. In this sample, 38% of Canadians and 28% of French reported doing less than 150 minutes of physical activity weekly. Insomnia affected 42% of Canadians and 49% of French. Tobacco use disorder affected 50% of Canadians and 60% of French. Alcohol use disorder affected 36% of Canadians and 53% of French. Cannabis use disorder affected 36% of Canadians and 38% of French. All tested variables were linked to physical activity (R² = 0.09). Insomnia was only linked with BPD symptoms (R² = 0.24). Tobacco use disorder was linked to social status and alcohol use disorder (R² = 0.13). Alcohol use disorder was linked to social status, body mass index, tobacco use disorder, and depression (R² = 0.16). Finally, cannabis use disorder was linked to age, body mass index, tobacco use disorder, depression, and past suicide attempts (R² = 0.26). Conclusion These results are essential to design health prevention interventions in French-speaking adults with BPD in Canada and in France. They help identify the main factors associated with these health behaviors. ","[Physical activity, sleep, and substance use in adults reporting a borderline personality disorder in France and Canada: An online study]","St-Amour S, Cailhol L, Kingsbury C, Ducasse D, Landry G, Bernard P.",Sante Ment Que. 2022 Fall;47(2):41-67.,St-Amour S,Sante Ment Que,2022,2023/06/06,,,
61,61,4700676,,Nonmedical use of methaqualone,"Gerald MC, Schwirian PM.",Arch Gen Psychiatry. 1973 May;28(5):627-31. doi: 10.1001/archpsyc.1973.01750350011002.,Gerald MC,Arch Gen Psychiatry,1973,1973/05/01,,,10.1001/archpsyc.1973.01750350011002
62,62,27534665,"With an increase in the legalization of recreational marijuana across the USA, advertising for marijuana products is more widespread, especially on the Internet where such practices pose a regulatory challenge. In this study, we examined the content of marijuana advertising on Weedmaps, a popular website that markets marijuana retailers online. A total of 146 recreational marijuana retailers in Colorado and Washington were examined on Weedmaps. We studied the age verification practices made in retailers' own websites, the presence of health claims they made about marijuana on Weedmaps, and the characteristics of followers of Weedmaps on social media sites. Many retailers had no security measure to determine age (41 % in Colorado, 35 % in Washington). Approximately 61 % of retailers in Colorado and 44 % in Washington made health claims about the benefits of marijuana, including anxiety reduction, treatment of depression, insomnia, and pain/inflammation. Inferred demographic characteristics of followers of Weedmaps on Twitter and Instagram revealed that over 60 % were male and nearly 70 % or more were age 20-29 years old, yet some (15-18 %) were under the age of 20. Our findings indicate that marijuana retailers have a visible presence on the Internet. Potential customers might be enticed by retailers who tout health claims about marijuana use. It may also be appealing for a younger demographic to overlook age restrictions and engage with marijuana retailers via social media. As a whole, our findings can help to guide future policy making on the issue of marijuana-related advertising. ","Exploring Marijuana Advertising on Weedmaps, a Popular Online Directory","Bierut T, Krauss MJ, Sowles SJ, Cavazos-Rehg PA.",Prev Sci. 2017 Feb;18(2):183-192. doi: 10.1007/s11121-016-0702-z.,Bierut T,Prev Sci,2017,2016/08/19,PMC5247325,NIHMS811292,10.1007/s11121-016-0702-z
63,63,34195169,,Use of Alcohol and Addictive Drugs During the COVID-19 Outbreak in Norway: Associations With Mental Health and Pandemic-Related Problems,"Bonsaksen T, Ekeberg Ø, Schou-Bredal I, Skogstad L, Heir T, Grimholt TK.",Front Public Health. 2021 Jun 14;9:667729. doi: 10.3389/fpubh.2021.667729. eCollection 2021.,Bonsaksen T,Front Public Health,2021,2021/07/01,PMC8236640,,10.3389/fpubh.2021.667729
64,64,22849856,"The palliative effects of Cannabis sativa (marijuana), and its putative main active ingredient, Δ(9) -tetrahydrocannabinol (THC), which include appetite stimulation, attenuation of nausea and emesis associated with chemo- or radiotherapy, pain relief, mood elevation, and relief from insomnia in cancer patients, are well-known. Because of the adverse psychoactive effects of THC, numerous recent preclinical studies have been focused on investigating other non-psychoactive constituents of C. sativa, such as cannabidiol, for potential therapeutic use. In this issue of the British Journal of Pharmacology, De Petrocellis and colleagues present comprehensive evidence that plant-derived cannabinoids, especially cannabidiol, are potent inhibitors of prostate carcinoma viability in vitro. They also showed that the extract was active in vivo, either alone or when administered with drugs commonly used to treat prostate cancer (the anti-mitotic chemotherapeutic drug docetaxel (Taxotere) or the anti-androgen bicalutamide (Casodex)) and explored the potential mechanisms behind these antineoplastic effects. ",Towards the use of non-psychoactive cannabinoids for prostate cancer,Pacher P.,Br J Pharmacol. 2013 Jan;168(1):76-8. doi: 10.1111/j.1476-5381.2012.02121.x.,Pacher P,Br J Pharmacol,2013,2012/08/02,PMC3570005,,10.1111/j.1476-5381.2012.02121.x
65,65,24987795,"Nabilone is a synthetic cannabinoid that has shown promise for the treatment of posttraumatic stress disorder (PTSD)-related insomnia and nightmares as well as efficacy in the management of chronic pain. It has also been proposed for harm reduction in cannabis dependence. Its effectiveness for management of concurrent disorders in seriously mentally ill correctional populations has not been evaluated. This retrospective study of 104 male inmates with serious mental illness prescribed nabilone analyzes the indications, efficacy, and safety of its use. Medications discontinued with the initiation of nabilone were also reviewed. The results showed nabilone targeting a mean of 3.5 indications per patient, thus likely reducing polypharmacy risk. The mean final dosage was 4.0 mg. Results indicated significant improvement in PTSD-associated insomnia, nightmares, PTSD symptoms, and Global Assessment of Functioning and subjective improvement in chronic pain. Medications associated with greater risk for adverse effects or abuse than nabilone were often able to be discontinued with the initiation of nabilone, most often antipsychotics and sedative/hypnotics. There was no evidence of abuse within this high-risk population or reduction of efficacy when nabilone was given in powder form with water rather than as a capsule. This study supports the promise of nabilone as a safe, effective treatment for concurrent disorders in seriously mentally ill correctional populations. Prospective, randomized controlled trials are required to confirm our preliminary results. Follow-up in the community will be required to confirm effectiveness in harm reduction. ","Use of a synthetic cannabinoid in a correctional population for posttraumatic stress disorder-related insomnia and nightmares, chronic pain, harm reduction, and other indications: a retrospective evaluation","Cameron C, Watson D, Robinson J.",J Clin Psychopharmacol. 2014 Oct;34(5):559-64. doi: 10.1097/JCP.0000000000000180.,Cameron C,J Clin Psychopharmacol,2014,2014/07/03,PMC4165471,,10.1097/JCP.0000000000000180
66,66,35898629,"Coffee or caffeine consumption has been associated with neuropsychiatric disorders, implying a shared etiology. However, whether these associations reflect causality remains largely unknown. To understand the genetic structure of the association between decaffeinated coffee consumption (DCC) and neuropsychiatric traits, we examined the genetic correlation, causality, and shared genetic structure between DCC and neuropsychiatric traits using linkage disequilibrium score regression, bidirectional Mendelian randomization (MR), and genome-wide cross-trait meta-analysis in large GWAS Consortia for coffee consumption ( ",Shared Genetics and Causality Between Decaffeinated Coffee Consumption and Neuropsychiatric Diseases: A Large-Scale Genome-Wide Cross-Trait Analysis and Mendelian Randomization Analysis,"Yin B, Wang X, Huang T, Jia J.",Front Psychiatry. 2022 Jul 11;13:910432. doi: 10.3389/fpsyt.2022.910432. eCollection 2022.,Yin B,Front Psychiatry,2022,2022/07/28,PMC9309364,,10.3389/fpsyt.2022.910432
67,67,30243411,"Individuals seeking substance use treatment who have one or more co-occurring mental health problems tend to have lower treatment engagement, higher rates of attrition, and poorer treatment outcomes. Readiness to change (RTC) is an integral construct in the recovery process, with higher RTC associated with improved treatment outcomes. However, the impact of psychiatric symptoms on RTC is not fully understood, especially among specialty subpopulations, such as military Veterans. Therefore, the aim of the present study was to examine the associations of mental health problems with RTC in a sample of Veterans initiating outpatient substance use treatment. The present sample was comprised of 278 Veterans (12% women, M ","Substance use consequences, mental health problems, and readiness to change among Veterans seeking substance use treatment","Morris DH, Davis AK, Lauritsen KJ, Rieth CM, Silvestri MM, Winters JJ, Chermack ST.",J Subst Abuse Treat. 2018 Nov;94:113-121. doi: 10.1016/j.jsat.2018.08.005. Epub 2018 Aug 19.,Morris DH,J Subst Abuse Treat,2018,2018/09/24,PMC6247812,NIHMS996103,10.1016/j.jsat.2018.08.005
68,68,35754104,"Sleep problems and substance use frequently co-occur. While substance use can result in specific sleep deficits, genetic pleiotropy could explain part of the relationship between sleep and substance use and use disorders. Here we use the largest publicly available genome-wide summary statistics of substance use behaviours (N = 79,729-632,802) and sleep/activity phenotypes to date (N = 85,502-449,734) to (1) assess the genetic overlap between substance use behaviours and both sleep and circadian-related activity measures, (2) estimate clusters from genetic correlations and (3) test processes of causality versus genetic pleiotropy. We found 31 genetic correlations between substance use and sleep/activity after Bonferroni correction. These patterns of overlap were represented by two genetic clusters: (1) tobacco use severity (age of first regular tobacco use and smoking cessation) and sleep health (sleep duration, sleep efficiency and chronotype) and (2) substance consumption/problematic use (drinks per day and cigarettes per day, cannabis use disorder, opioid use disorder and problematic alcohol use) and sleep problems (insomnia, self-reported short sleep duration, increased number of sleep episodes, increased sleep duration variability and diurnal inactivity) and measures of circadian-related activity (L5, M10 and sleep midpoint). Latent causal variable analyses determined that horizontal pleiotropy (rather than genetic causality) underlies a majority of the associations between substance use and sleep/circadian related measures, except one plausible genetically causal relationship for opioid use disorder on self-reported long sleep duration. Results show that shared genetics are likely a mechanism that is at least partly responsible for the overlap between sleep and substance use traits. ",Characterisation of the genetic relationship between the domains of sleep and circadian-related behaviours with substance use phenotypes,"Hatoum AS, Winiger EA, Morrison CL, Johnson EC, Agrawal A.",Addict Biol. 2022 Jul;27(4):e13184. doi: 10.1111/adb.13184.,Hatoum AS,Addict Biol,2022,2022/06/27,PMC10038127,NIHMS1881644,10.1111/adb.13184
69,69,35986953,"Transgender and nonbinary (TGNB) individuals are a health disparity population at high risk for sleep disturbance (e.g., insomnia). Recent evidence suggests minority stress (e.g., discrimination) is associated with sleep disturbance in TGNB adults. However, investigators have yet to identify factors that might explain this relationship. In this study, we investigated the role of problematic drug use (PDU) in the relationship between discrimination and sleep disturbance in TGNB individuals. The study sample included 194 TGNB participants from Wave 5 (2021) of Project AFFIRM, a multi-site longitudinal study of transgender health. Discrimination, PDU, and sleep disturbance were measured using the Everyday Discrimination Scale, Drug Use Disorders Identification Test (DUDIT), and PROMIS Sleep Disturbance measures, respectively. Individuals were classified as having PDU using established DUDIT criteria that were applied based on sex assigned at birth. Regression analyses were used to estimate the associations of study variables, and subsequently, mediation analysis was used to determine whether PDU partially mediated the association between discrimination and sleep disturbance. Nearly half of participants reported PDU, of which 83.2% reported cannabis use. Higher levels of discrimination were associated with worse self-reported sleep disturbance scores. Additionally, participants with greater discrimination were more likely to have PDU. Surprisingly, participants with PDU had lower sleep disturbance scores. Our cross-sectional findings suggest that PDU partially suppressed the association between discrimination and sleep disturbance in TGNB people. Efforts to address PDU in TGNB adults may consider assessing sleep disturbance as a motivating factor for drug use and the potential role of discrimination in perpetuating PDU. ",Examining the role of problematic drug use in the relationship between discrimination and sleep disturbance in transgender and nonbinary individuals,"Belloir JA, Kidd JD, Dworkin JD, Bockting WO.",Addict Behav. 2022 Dec;135:107459. doi: 10.1016/j.addbeh.2022.107459. Epub 2022 Aug 11.,Belloir JA,Addict Behav,2022,2022/08/20,PMC10316756,NIHMS1908259,10.1016/j.addbeh.2022.107459
70,70,37886496,"Genetic contributions to human cortical structure manifest pervasive pleiotropy. This pleiotropy may be harnessed to identify unique genetically-informed parcellations of the cortex that are neurobiologically distinct from functional, cytoarchitectural, or other cortical parcellation schemes. We investigated genetic pleiotropy by applying genomic structural equation modeling (SEM) to map the genetic architecture of cortical surface area (SA) and cortical thickness (CT) for the 34 brain regions recently reported in the ENIGMA cortical GWAS. Genomic SEM uses the empirical genetic covariance estimated from GWAS summary statistics with LD score regression (LDSC) to discover factors underlying genetic covariance, which we are denoting  ",Genomic Structural Equation Modeling Reveals Latent Phenotypes in the Human Cortex with Distinct Genetic Architecture,"Morey R, Zheng Y, Sun D, Garrett M, Gasperi M, Maihofer A, Baird CL, Grasby K, Huggins A, Haswell C, Thompson P, Medland S, Gustavson D, Panizzon M, Kremen W, Nievergelt C, Ashley-Koch A, Logue L.",Res Sq [Preprint]. 2023 Oct 3:rs.3.rs-3253035. doi: 10.21203/rs.3.rs-3253035/v1.,Morey R,Res Sq,2023,2023/10/27,PMC10602057,,10.21203/rs.3.rs-3253035/v1
71,71,20007734,"Sleep disorders affect many patients with chronic pain conditions. Cannabis has been reported by several patient populations to help sleep. We evaluated the safety and efficacy of nabilone, a synthetic cannabinoid, on sleep disturbance in fibromyalgia (FM), a disease characterized by widespread chronic pain and insomnia. We conducted a randomized, double-blind, active-control, equivalency crossover trial to compare nabilone (0.5-1.0 mg before bedtime) to amitriptyline (10-20 mg before bedtime) in patients with FM with chronic insomnia. Subjects received each drug for 2 wk with a 2-wk washout period. The primary outcome was sleep quality, measured by the Insomnia Severity Index and the Leeds Sleep Evaluation Questionnaire. Secondary outcomes included pain, mood, quality of life, and adverse events (AEs). Thirty-one subjects were enrolled and 29 completed the trial (26 women, mean age 49.5 yr). Although sleep was improved by both amitriptyline and nabilone, nabilone was superior to amitriptyline (Insomnia Severity Index difference = 3.2; 95% confidence interval = 1.2-5.3). Nabilone was marginally better on the restfulness (Leeds Sleep Evaluation Questionnaire difference = 0.5 [0.0-1.0]) but not on wakefulness (difference = 0.3 [-0.2 to 0.8]). No effects on pain, mood, or quality of life were observed. AEs were mostly mild to moderate and were more frequent with nabilone. The most common AEs for nabilone were dizziness, nausea, and dry mouth. Nabilone is effective in improving sleep in patients with FM and is well tolerated. Low-dose nabilone given once daily at bedtime may be considered as an alternative to amitriptyline. Longer trials are needed to determine the duration of effect and to characterize long-term safety. ",The effects of nabilone on sleep in fibromyalgia: results of a randomized controlled trial,"Ware MA, Fitzcharles MA, Joseph L, Shir Y.",Anesth Analg. 2010 Feb 1;110(2):604-10. doi: 10.1213/ANE.0b013e3181c76f70. Epub 2009 Dec 10.,Ware MA,Anesth Analg,2010,2009/12/17,,,10.1213/ANE.0b013e3181c76f70
72,72,35775024,"Prescribed cannabinoids are now legal in the UK and increasingly being used for a variety of conditions, with one of the most frequent conditions being chronic pain. This paper describes the characteristics of individuals seeking prescribed cannabinoids for the treatment of chronic pain in Project Twenty 21, a UK based real world data registry of prescribed cannabis patients. By 1st November 2021 data were available for 1,782 people who had sought treatment with medical cannabis as part of Project Twenty 21. The most common diagnosis among this cohort was chronic pain with 949 (53.5%) of the cohort reporting a primary condition related to chronic pain. Medical and self-report data on the characteristics of these patients, their health status and type/s of cannabinoid/s prescribed are summarized in this report. Of the 949 people reporting chronic pain as a primary condition 54.7% were male and their average age was 42.0 years (range = 18-84). Patients reported a low quality of life and high levels of comorbidity: people reported an average of 4.6 comorbid conditions with the most common comorbid conditions including anxiety, depression, insomnia and stress. A range of cannabinoid products were prescribed with the most common products being classified as high THC flower (48.5%). The majority of patients also reported using at least one other prescribed medication (68.7%). Consistent with findings in other national and international databases, chronic pain was the most common primary condition in this real world study of prescribed cannabinoids. There was considerable variation in the types of chronic pain, comorbid pathology and in the characteristics of products being prescribed to treat these conditions. Together, this evidence supports the utility of real world evidence, as opposed to clinical trial approaches to studying the potential benefits of prescribed cannabinoids in treating chronic pain. ",Characteristics of People Seeking Prescribed Cannabinoids for the Treatment of Chronic Pain: Evidence From Project Twenty 21,"Schlag AK, Lynskey M, Fayaz A, Athanasiou-Fragkouli A, Brandner B, Haja B, Iveson E, Nutt DJ.",Front Pain Res (Lausanne). 2022 Jun 14;3:891498. doi: 10.3389/fpain.2022.891498. eCollection 2022.,Schlag AK,Front Pain Res (Lausanne),2022,2022/07/01,PMC9237624,,10.3389/fpain.2022.891498
73,73,34285125,"Cannabidiol (CBD) is a cannabis derivative that has been popularized as a medicinal product with analgesic and anti-inflammatory effects. Given the anecdotal observations that several patients have reported use of CBD for spine-related pain, this study was designed to characterize CBD consumption patterns and perceived effects in patients with spine-related complaints. The study design was a cross-sectional survey. Over a 4-week period, an anonymous paper survey was administered to all patients presenting for evaluation by 1 of 9 spine surgeons at a single institution. Surveys were given upon registration for the office visit and collected by the office manager or nurse before evaluation by the surgeon. Patients were included regardless of surgical status (ie, preoperative, postoperative, or nonoperative) or region of pathology (lumbar, thoracic, or cervical). The survey consisted of multiple-choice questions on patient patterns of CBD use. Out of 300 surveys, 214 (71%) were completed. CBD use for spine-related pain was reported by 54 (25.2%) patients. CBD was initially used for potential relief of back pain (66.7%), neck pain (37.0%), leg pain (35.2%), and/or arm pain (9.3%). Users also sought improvements in insomnia (25.9%) and mood (18.5%). Oil was the most popular formulation (64.8%). CBD was most often consumed 2-5 times (40.7%) or 6-10 times (31.5%) per week. The most common source of initial recommendation for CBD was friends or family (75.9%). Reported benefits were pain relief (46.3%), improved sleep (33.3%), and reduced anxiety (20.4%); however, 24.1% of patients reported no benefit from CBD use. The most reported side effect was fatigue (7.4%). Most users (63.0%) would recommend CBD to a friend for pain relief. CBD is already used by many patients, and further high-quality research on this supplement is essential. 4. CBD is a commonly used by spine patients as an off label treatment. ",Prevalence of Cannabidiol Use in Patients With Spine Complaints: Results of an Anonymous Survey,"Lovecchio F, Langhans MT, Bennett T, Steinhaus M, Premkumar A, Cunningham M, Farmer J, Albert T, Huang R, Katsuura Y, Qureshi S, Schwab F, Sandhu H, Kim HJ, Lafage V, Iyer S.",Int J Spine Surg. 2021 Aug;15(4):663-668. doi: 10.14444/8087. Epub 2021 Jul 20.,Lovecchio F,Int J Spine Surg,2021,2021/07/21,PMC8375682,,10.14444/8087
74,74,32758411,"Sleep disruption and relaxation are commonly cited reasons for marijuana use. Job loss is a significant stressor associated with high risk for sleep disruption. Little is known about marijuana use in relation to other intervention choices for sleep/relaxation in individuals who have experienced recent, involuntary job loss. This study compared self-reported use of marijuana to evidence-based treatments (EBT) for sleep/relaxation using data from the ongoing Assessing Daily Activity Patterns through Occupational Transitions (ADAPT) study. Participants were 1639 completers of the ADAPT phone screen interview. EBT was defined as Cognitive Behavioral Therapy for Insomnia (CBT-I), non-benzodiazepine sedatives/hypnotics, and benzodiazepines. Marijuana was the most common treatment for sleep/relaxation. Two-sample tests of proportions revealed that prevalence of use of marijuana was comparable to the entire class of EBTs (~5%). Only 2 (0.1%) participants reported receiving CBT-I, the first-line treatment for insomnia disorder, as per the American College of Physicians Clinical Practice Guidelines. Rates of dose increase following job-loss were comparable between users of marijuana and EBTs (Z = 0.56, p = .58). Multiple logistic regression models demonstrated that male sex (OR = 0.28, 95%CI = 0.14-0.57) and substance abuse (OR = 7.68, 95%CI = 2.89-20.43) were significantly associated with increased likelihood of marijuana use. Individuals who have recently experienced involuntary job loss may be more likely to use marijuana than any one EBT for sleep/relaxation and as likely to increase their treatment dose. Dissemination of evidence-based sleep health interventions is needed in unemployed populations to prevent habitual patterns resulting in the long-term use of marijuana for sleep/relaxation. ",Marijuana versus evidence-based treatments for sleep and relaxation: A cross-sectional study of use and dose modification following involuntary job loss,"Skobic I, Apolinar GR, Quan SF, Haynes PL.",Sleep Health. 2021 Feb;7(1):113-117. doi: 10.1016/j.sleh.2020.06.008. Epub 2020 Aug 2.,Skobic I,Sleep Health,2021,2020/08/08,PMC7855254,NIHMS1618850,10.1016/j.sleh.2020.06.008
