,PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
178,27436070,Loose Anagen Syndrome: A Retrospective Chart Review of 37 Cases,"Swink SM, Castelo-Soccio L.",Pediatr Dermatol. 2016 Sep;33(5):507-10. doi: 10.1111/pde.12912. Epub 2016 Jul 19.,Swink SM,Pediatr Dermatol,2016,2016/07/21,,,10.1111/pde.12912
179,34706580,Using Human-Centered Design in Personalized Anticipatory Guidance: Enriching Anticipatory Guidance on Early Cognitive and Language Development,"Brenner LD, Brudney R, Castaneda J, Liu A, Reyna ME, Leffel KR, Suskind D.",Clin Pediatr (Phila). 2021 Nov;60(13):528-542. doi: 10.1177/00099228211051198.,Brenner LD,Clin Pediatr (Phila),2021,2021/10/28,,,10.1177/00099228211051198
180,33269668,The Cardiac Neurodevelopmental Outcome Collaborative: a new community improving outcomes for individuals with congenital heart disease,"Sood E, Jacobs JP, Marino BS.",Cardiol Young. 2020 Nov;30(11):1595-1596. doi: 10.1017/S1047951120003509.,Sood E,Cardiol Young,2020,2020/12/03,,,10.1017/S1047951120003509
181,14338645,PI-1 CONE MONOCHROMATISM,"ALPERN M, LEE GB, SPIVEY BE.",Arch Ophthalmol. 1965 Sep;74:334-7. doi: 10.1001/archopht.1965.00970040336008.,ALPERN M,Arch Ophthalmol,1965,1965/09/01,,,10.1001/archopht.1965.00970040336008
182,34448243,Virtual group visits to reduce psychosocial distress and racial disparities in pediatric vitiligo and alopecia areata patients,"Khosla NN, Grullon K, Rosenblatt AE.",Pediatr Dermatol. 2021 Nov;38 Suppl 2:132-134. doi: 10.1111/pde.14782. Epub 2021 Aug 26.,Khosla NN,Pediatr Dermatol,2021,2021/08/27,,,10.1111/pde.14782
183,34101255,Continuing patient care to underserved communities and medical education during the COVID-19 pandemic through a teledermatology student-run clinic,"Linggonegoro D, Rrapi R, Ashrafzadeh S, McCormack L, Bartenstein D, Hazen TJ, Kempf A, Kim EJ, Moore K, Sanchez-Flores X, Song H, Huang JT, Hussain S.",Pediatr Dermatol. 2021 Jul;38(4):977-979. doi: 10.1111/pde.14653. Epub 2021 Jun 7.,Linggonegoro D,Pediatr Dermatol,2021,2021/06/08,PMC8236992,,10.1111/pde.14653
184,22198297,Gene mapping study for constitutive skin color in an isolated Mongolian population,"Paik SH, Kim HJ, Son HY, Lee S, Im SW, Ju YS, Yeon JH, Jo SJ, Eun HC, Seo JS, Kwon OS, Kim JI.",Exp Mol Med. 2012 Mar 31;44(3):241-9. doi: 10.3858/emm.2012.44.3.020.,Paik SH,Exp Mol Med,2012,2011/12/27,PMC3317488,,10.3858/emm.2012.44.3.020
185,2663380,The school-age child: putting it all together,"Palfrey JS, Rappaport L, DeGraw C.",Curr Probl Pediatr. 1989 Jun;19(6):285-323. doi: 10.1016/0045-9380(89)90036-4.,Palfrey JS,Curr Probl Pediatr,1989,1989/06/01,,,10.1016/0045-9380(89)90036-4
186,35297078,COVID-19 and mental health of primary school children: Comparison of 2019 and 2020,"Gilligan C, Sresthaporn N, Mulligan A.",Child Care Health Dev. 2022 Nov;48(6):891-894. doi: 10.1111/cch.13001. Epub 2022 Mar 29.,Gilligan C,Child Care Health Dev,2022,2022/03/17,PMC9111544,,10.1111/cch.13001
187,20826285,Creation and initial evaluation of a Stool Form Scale for children,"Chumpitazi BP, Lane MM, Czyzewski DI, Weidler EM, Swank PR, Shulman RJ.",J Pediatr. 2010 Oct;157(4):594-7. doi: 10.1016/j.jpeds.2010.04.040. Epub 2010 Jun 17.,Chumpitazi BP,J Pediatr,2010,2010/09/10,PMC2937014,NIHMS216160,10.1016/j.jpeds.2010.04.040
188,14166227,SYNOROPTICS,MCLAUGHLIN SC.,Am Orthopt J. 1964;14:134-43.,MCLAUGHLIN SC,Am Orthopt J,1964,1964/01/01,,,
189,38057120,Insights from a joint pediatric dermatology-gynecology vulvar clinic: A retrospective study,"Menta N, Nussbaum D, Khilnani A, Dowlut-McElroy T, Habeshian KA.",Pediatr Dermatol. 2024 Jan-Feb;41(1):41-45. doi: 10.1111/pde.15489. Epub 2023 Dec 6.,Menta N,Pediatr Dermatol,2024,2023/12/06,,,10.1111/pde.15489
190,10063656,Diagnosing anaemia in pregnancy in rural clinics: assessing the potential of the Haemoglobin Colour Scale,"van den Broek NR, Ntonya C, Mhango E, White SA.",Bull World Health Organ. 1999;77(1):15-21.,van den Broek NR,Bull World Health Organ,1999,1999/03/04,PMC2557566,,
191,20708324,"Oral mucoceles: a clinicopathologic review of 1,824 cases, including unusual variants","Chi AC, Lambert PR 3rd, Richardson MS, Neville BW.",J Oral Maxillofac Surg. 2011 Apr;69(4):1086-93. doi: 10.1016/j.joms.2010.02.052. Epub 2010 Aug 12.,Chi AC,J Oral Maxillofac Surg,2011,2010/08/17,,,10.1016/j.joms.2010.02.052
192,14254963,THE BATTERED CHILD SYNDROME. RESPONSIBILITIES OF THE PATHOLOGIST,"CURPHEY TJ, NOGUCHI TT, KADE H, MOORE SM.",Calif Med. 1965 Feb;102(2):102-4.,CURPHEY TJ,Calif Med,1965,1965/02/01,PMC1515770,,
193,28095072,"Parental coping, depressive symptoms, and children's asthma control and school attendance in low-income, racially, and ethnically diverse urban families","Rodríguez EM, Kumar H, Alba-Suarez J, Sánchez-Johnsen L.",J Asthma. 2017 Oct;54(8):833-841. doi: 10.1080/02770903.2016.1274402. Epub 2017 Jan 17.,Rodríguez EM,J Asthma,2017,2017/01/18,PMC6442724,NIHMS1503744,10.1080/02770903.2016.1274402
194,19649407,[Food additive intake and health effects: public health challenges in Brazil],"Polônio ML, Peres F.",Cad Saude Publica. 2009 Aug;25(8):1653-66. doi: 10.1590/s0102-311x2009000800002.,Polônio ML,Cad Saude Publica,2009,2009/08/04,,,10.1590/s0102-311x2009000800002
195,36987931,[Clinical care pathway appropriateness of the intoxicated paediatric patient: a retrospective evaluation with Poisoning Severity Score],"Baiardi G, Sacco F, Calvini G, Pasquariello S, Negro I, Mattioli F, Debbia C.",Epidemiol Prev. 2023 Jan-Apr;47(1-2):20-25. doi: 10.19191/EP23.1-2.A473.017.,Baiardi G,Epidemiol Prev,2023,2023/03/29,,,10.19191/EP23.1-2.A473.017
196,24632351,"Cognition, academic achievement, and epilepsy in school-age children: a case-control study in a developing country","Melbourne Chambers R, Morrison-Levy N, Chang S, Tapper J, Walker S, Tulloch-Reid M.",Epilepsy Behav. 2014 Apr;33:39-44. doi: 10.1016/j.yebeh.2014.02.002. Epub 2014 Mar 13.,Melbourne Chambers R,Epilepsy Behav,2014,2014/03/18,,,10.1016/j.yebeh.2014.02.002
197,34125863,"The effect of colour on reading performance in children, measured by a sensor hub: From the perspective of gender","Jakovljević T, Janković MM, Savić AM, Soldatović I, Mačužić I, Jakulin TJ, Papa G, Ković V.",PLoS One. 2021 Jun 14;16(6):e0252622. doi: 10.1371/journal.pone.0252622. eCollection 2021.,Jakovljević T,PLoS One,2021,2021/06/14,PMC8202909,,10.1371/journal.pone.0252622
198,33664005,A pilot study of the value of a stool color card as a diagnostic tool for extrahepatic biliary atresia at a single tertiary referral center in a low/middle income country,"El-Shabrawi MH, Baroudy SR, Hassanin FS, Farag AE.",Arab J Gastroenterol. 2021 Mar;22(1):61-65. doi: 10.1016/j.ajg.2020.12.004. Epub 2021 Mar 2.,El-Shabrawi MH,Arab J Gastroenterol,2021,2021/03/05,,,10.1016/j.ajg.2020.12.004
199,29222832,Written action plans for children with long-term conditions: A systematic review and synthesis of qualitative data,"Waldecker A, Malpass A, King A, Ridd MJ.",Health Expect. 2018 Jun;21(3):585-596. doi: 10.1111/hex.12643. Epub 2017 Dec 9.,Waldecker A,Health Expect,2018,2017/12/10,PMC5980629,,10.1111/hex.12643
200,25312750,Bits and pieces. Food texture influences food acceptance in young children,"Werthmann J, Jansen A, Havermans R, Nederkoorn C, Kremers S, Roefs A.",Appetite. 2015 Jan;84:181-7. doi: 10.1016/j.appet.2014.09.025. Epub 2014 Oct 13.,Werthmann J,Appetite,2015,2014/10/15,,,10.1016/j.appet.2014.09.025
201,21961955,Executive function performance on the children's kitchen task assessment with children with sickle cell disease and matched controls,"Berg C, Edwards DF, King A.",Child Neuropsychol. 2012;18(5):432-48. doi: 10.1080/09297049.2011.613813. Epub 2011 Oct 3.,Berg C,Child Neuropsychol,2012,2011/10/04,,,10.1080/09297049.2011.613813
202,26892106,Use of mobile and cordless phones and cognition in Australian primary school children: a prospective cohort study,"Redmayne M, Smith CL, Benke G, Croft RJ, Dalecki A, Dimitriadis C, Kaufman J, Macleod S, Sim MR, Wolfe R, Abramson MJ.",Environ Health. 2016 Feb 19;15:26. doi: 10.1186/s12940-016-0116-1.,Redmayne M,Environ Health,2016,2016/02/20,PMC4759913,,10.1186/s12940-016-0116-1
203,12790504,Perception of dental fluorosis amongst Ethiopian children and their mothers,"Wondwossen F, Astrøm AN, Bårdsen A, Bjorvatn K.",Acta Odontol Scand. 2003 Apr;61(2):81-6. doi: 10.1080/00016350310001415.,Wondwossen F,Acta Odontol Scand,2003,2003/06/07,,,10.1080/00016350310001415
204,29363608,Implementation of a colour-coded universal protocol safety initiative in Guatemala,"Taicher BM, Tew S, Figueroa L, Hernandez F, Ross SS, Rice HE.",BMJ Qual Saf. 2018 Aug;27(8):593-599. doi: 10.1136/bmjqs-2017-007217. Epub 2018 Jan 23.,Taicher BM,BMJ Qual Saf,2018,2018/01/25,,,10.1136/bmjqs-2017-007217
205,23330625,Identifying and addressing mental health risks and problems in primary care pediatric settings: a model to promote developmental and cultural competence,"Godoy L, Carter AS.",Am J Orthopsychiatry. 2013 Jan;83(1):73-88. doi: 10.1111/ajop.12005.,Godoy L,Am J Orthopsychiatry,2013,2013/01/22,,,10.1111/ajop.12005
206,37227996,Implications of the Lack of Physicians of Color in the Shortage of Pediatric Ophthalmologists,"Adeoye O, Madu CT, Nwokeji I.",J Pediatr Ophthalmol Strabismus. 2023 May;60(3):226. doi: 10.3928/01913913-20230426-01. Epub 2023 May 1.,Adeoye O,J Pediatr Ophthalmol Strabismus,2023,2023/05/25,,,10.3928/01913913-20230426-01
207,31276758,Coronary vessel wall visualization via three-dimensional turbo spin-echo black blood imaging in Kawasaki disease,"Matsumoto K, Yokota H, Mukai H, Ebata R, Saito N, Shimokawa K, Yoda T, Masuda Y, Uno T, Miyati T.",Magn Reson Imaging. 2019 Oct;62:159-166. doi: 10.1016/j.mri.2019.07.001. Epub 2019 Jul 2.,Matsumoto K,Magn Reson Imaging,2019,2019/07/06,,,10.1016/j.mri.2019.07.001
208,22671021,A prospective study to assess the palatability of analgesic medicines in children,"Smith CJ, Sammons HM, Fakis A, Conroy S.",J Adv Nurs. 2013 Mar;69(3):655-63. doi: 10.1111/j.1365-2648.2012.06050.x. Epub 2012 Jun 7.,Smith CJ,J Adv Nurs,2013,2012/06/08,,,10.1111/j.1365-2648.2012.06050.x
209,8660049,Estimation of the age of bruising,"Stephenson T, Bialas Y.",Arch Dis Child. 1996 Jan;74(1):53-5. doi: 10.1136/adc.74.1.53.,Stephenson T,Arch Dis Child,1996,1996/01/01,PMC1511603,,10.1136/adc.74.1.53
210,38525655,Exploring grammatical development in children aged 2;6 to 7: a novel approach using elicited production,"Kauschke C, Lawatsch K, Tenhagen A, Dörfler T.",Clin Linguist Phon. 2024 Mar 25:1-24. doi: 10.1080/02699206.2024.2328200. Online ahead of print.,Kauschke C,Clin Linguist Phon,2024,2024/03/25,,,10.1080/02699206.2024.2328200
211,13880724,"Interference effects of Stroop color-word test in childhood, adulthood, and aging","COMALLI PE Jr, WAPNER S, WERNER H.",J Genet Psychol. 1962 Mar;100:47-53. doi: 10.1080/00221325.1962.10533572.,COMALLI PE Jr,J Genet Psychol,1962,1962/03/01,,,10.1080/00221325.1962.10533572
212,623434,[Estimation of the heritability of hair and eye color],"Bräuer G, Chopra VP.",Anthropol Anz. 1978 Feb;36(2):109-20.,Bräuer G,Anthropol Anz,1978,1978/02/01,,,
213,20406335,Effect of environmental exposure to lead and tobacco smoke on inattentive and hyperactive symptoms and neurocognitive performance in children,"Cho SC, Kim BN, Hong YC, Shin MS, Yoo HJ, Kim JW, Bhang SY, Cho IH, Kim HW.",J Child Psychol Psychiatry. 2010 Sep;51(9):1050-7. doi: 10.1111/j.1469-7610.2010.02250.x. Epub 2010 Apr 6.,Cho SC,J Child Psychol Psychiatry,2010,2010/04/22,,,10.1111/j.1469-7610.2010.02250.x
214,16495419,"Defining mild, moderate, and severe pain by using the color analogue scale with children presenting to a pediatric emergency department","McConahay T, Bryson M, Bulloch B.",Acad Emerg Med. 2006 Mar;13(3):341-4. doi: 10.1197/j.aem.2005.09.010. Epub 2006 Feb 22.,McConahay T,Acad Emerg Med,2006,2006/02/24,,,10.1197/j.aem.2005.09.010
215,27437048,Guiding Principles for a Pediatric Neurology ICU (neuroPICU) Bedside Multimodal Monitor: Findings from an International Working Group,"Grinspan ZM, Eldar YC, Gopher D, Gottlieb A, Lammfromm R, Mangat HS, Peleg N, Pon S, Rozenberg I, Schiff ND, Stark DE, Yan P, Pratt H, Kosofsky BE.",Appl Clin Inform. 2016 May 18;7(2):380-98. doi: 10.4338/ACI-2015-12-RA-0177. eCollection 2016.,Grinspan ZM,Appl Clin Inform,2016,2016/07/21,PMC4941847,,10.4338/ACI-2015-12-RA-0177
216,25869374,Reducing Cancelations on the Day of Scheduled Surgery at a Children's Hospital,"Pratap JN, Varughese AM, Mercurio P, Lynch T, Lonnemann T, Ellis A, Rugg J, Stone WR, Bedinghaus C.",Pediatrics. 2015 May;135(5):e1292-9. doi: 10.1542/peds.2014-2418. Epub 2015 Apr 13.,Pratap JN,Pediatrics,2015,2015/04/15,,,10.1542/peds.2014-2418
217,17478312,Developing educational materials to facilitate adherence: pediatric thrombosis as a case illustration,"Bauman ME, Massicotte MP, Ray L, Newburn-Cook C.",J Pediatr Health Care. 2007 May-Jun;21(3):198-206. doi: 10.1016/j.pedhc.2007.02.011.,Bauman ME,J Pediatr Health Care,2007,2007/05/05,,,10.1016/j.pedhc.2007.02.011
218,27258359,Treatment of soft tissue defects in the heels of children in an emergency setting,"Li-You W, Hong-Wei Z, Gang Z, Guo-Qiang W, Fan Y.",J Pediatr Orthop B. 2017 Mar;26(2):152-158. doi: 10.1097/BPB.0000000000000343.,Li-You W,J Pediatr Orthop B,2017,2016/06/04,,,10.1097/BPB.0000000000000343
219,34501821,School Parks as a Community Health Resource: Use of Joint-Use Parks by Children before and during COVID-19 Pandemic,"Lanza K, Durand CP, Alcazar M, Ehlers S, Zhang K, Kohl HW 3rd.",Int J Environ Res Public Health. 2021 Sep 1;18(17):9237. doi: 10.3390/ijerph18179237.,Lanza K,Int J Environ Res Public Health,2021,2021/09/10,PMC8430500,,10.3390/ijerph18179237
220,17015417,Use of the Broselow tape may result in the underresuscitation of children,"Nieman CT, Manacci CF, Super DM, Mancuso C, Fallon WF Jr.",Acad Emerg Med. 2006 Oct;13(10):1011-9. doi: 10.1197/j.aem.2006.06.042.,Nieman CT,Acad Emerg Med,2006,2006/10/04,,,10.1197/j.aem.2006.06.042
221,23975603,Assessment of tissue perfusion changes in port wine stains after vascular targeted photodynamic therapy: a short-term follow-up study,"Ren J, Li P, Zhao H, Chen D, Zhen J, Wang Y, Wang Y, Gu Y.",Lasers Med Sci. 2014 Mar;29(2):781-8. doi: 10.1007/s10103-013-1420-4. Epub 2013 Aug 24.,Ren J,Lasers Med Sci,2014,2013/08/27,,,10.1007/s10103-013-1420-4
222,29295510,Pollution from Fossil-Fuel Combustion is the Leading Environmental Threat to Global Pediatric Health and Equity: Solutions Exist,Perera F.,Int J Environ Res Public Health. 2017 Dec 23;15(1):16. doi: 10.3390/ijerph15010016.,Perera F,Int J Environ Res Public Health,2017,2018/01/04,PMC5800116,,10.3390/ijerph15010016
223,15916835,Evidence for specific phases in the development of human neuromelanin,"Fedorow H, Halliday GM, Rickert CH, Gerlach M, Riederer P, Double KL.",Neurobiol Aging. 2006 Mar;27(3):506-12. doi: 10.1016/j.neurobiolaging.2005.02.015.,Fedorow H,Neurobiol Aging,2006,2005/05/27,,,10.1016/j.neurobiolaging.2005.02.015
224,34303277,"Association between attention, nonverbal intelligence and school performance of school-age children with Autism Spectrum Disorder from a public health context in Brazil","Spaniol MM, Magalhães J, Mevorach C, Shalev L, Teixeira MCTV, Lowenthal R, de Paula CS.",Res Dev Disabil. 2021 Sep;116:104041. doi: 10.1016/j.ridd.2021.104041. Epub 2021 Jul 22.,Spaniol MM,Res Dev Disabil,2021,2021/07/24,,,10.1016/j.ridd.2021.104041
225,21941009,Hydration status in adolescent judo athletes before and after training in the heat,"Rivera-Brown AM, De Félix-Dávila RA.",Int J Sports Physiol Perform. 2012 Mar;7(1):39-46. doi: 10.1123/ijspp.7.1.39. Epub 2011 Aug 30.,Rivera-Brown AM,Int J Sports Physiol Perform,2012,2011/09/24,,,10.1123/ijspp.7.1.39
226,39485519,Representation of diverse skin tones in Nelson's Textbook of Pediatrics,"Gruver JR, Pruszynski J, Haugh I.",Arch Dermatol Res. 2024 Nov 1;316(10):733. doi: 10.1007/s00403-024-03460-9.,Gruver JR,Arch Dermatol Res,2024,2024/11/01,,,10.1007/s00403-024-03460-9
227,28360250,Development of the Brussels Infant and Toddler Stool Scale ('BITSS'): protocol of the study,"Vandenplas Y, Szajewska H, Benninga M, Di Lorenzo C, Dupont C, Faure C, Miqdadi M, Osatakul S, Ribes-Konickx C, Saps M, Shamir R, Staiano A; BITSS Study Group.",BMJ Open. 2017 Mar 29;7(3):e014620. doi: 10.1136/bmjopen-2016-014620.,Vandenplas Y,BMJ Open,2017,2017/04/01,PMC5372036,,10.1136/bmjopen-2016-014620
228,12217108,Hand-held digital video-camera for eye examination and follow-up,"Saari JM, Kerola MT, Broas M, Saari KM.",J Telemed Telecare. 2002;8(4):237-40. doi: 10.1258/135763302320272220.,Saari JM,J Telemed Telecare,2002,2002/09/10,,,10.1258/135763302320272220
229,12588381,The Children's Dermatology Life Quality Index: validation of the cartoon version,"Holme SA, Man I, Sharpe JL, Dykes PJ, Lewis-Jones MS, Finlay AY.",Br J Dermatol. 2003 Feb;148(2):285-90. doi: 10.1046/j.1365-2133.2003.05157.x.,Holme SA,Br J Dermatol,2003,2003/02/18,,,10.1046/j.1365-2133.2003.05157.x
230,28242834,Dark Colored Urine in a 2-Year-Old Child,"Peake RW, Bodamer OA.",Clin Chem. 2017 Mar;63(3):786-788. doi: 10.1373/clinchem.2016.269910.,Peake RW,Clin Chem,2017,2017/03/01,,,10.1373/clinchem.2016.269910
231,27738876,Colorimetry as Quality Control Tool for Individual Inkjet-Printed Pediatric Formulations,"Wickström H, Nyman JO, Indola M, Sundelin H, Kronberg L, Preis M, Rantanen J, Sandler N.",AAPS PharmSciTech. 2017 Feb;18(2):293-302. doi: 10.1208/s12249-016-0620-1. Epub 2016 Oct 13.,Wickström H,AAPS PharmSciTech,2017,2016/10/15,,,10.1208/s12249-016-0620-1
232,25510879,Early life determinants of low IQ at age 6 in children from the 2004 Pelotas Birth Cohort: a predictive approach,"Camargo-Figuera FA, Barros AJ, Santos IS, Matijasevich A, Barros FC.",BMC Pediatr. 2014 Dec 16;14:308. doi: 10.1186/s12887-014-0308-1.,Camargo-Figuera FA,BMC Pediatr,2014,2014/12/17,PMC4272809,,10.1186/s12887-014-0308-1
233,18091592,Does length-based resuscitation tape accurately place pediatric patients into appropriate color-coded zones?,"Hashikawa A, Juhn Y, Homme J, Gardner B, Moore B.",Pediatr Emerg Care. 2007 Dec;23(12):856-61. doi: 10.1097/pec.0b013e31815c9d2f.,Hashikawa A,Pediatr Emerg Care,2007,2007/12/20,,,10.1097/pec.0b013e31815c9d2f
234,21926033,Synthetic food colors and neurobehavioral hazards: the view from environmental health research,Weiss B.,Environ Health Perspect. 2012 Jan;120(1):1-5. doi: 10.1289/ehp.1103827. Epub 2011 Sep 16.,Weiss B,Environ Health Perspect,2012,2011/09/20,PMC3261946,,10.1289/ehp.1103827
235,37824724,"Using Artificial Intelligence to Identify the Associations of Children's Performance of Coloring, Origami, and Copying Activities With Visual-Motor Integration","Huang CY, Yu YT, Chen KL, Lin GH, Hsieh CL.",Am J Occup Ther. 2023 Sep 1;77(5):7705205080. doi: 10.5014/ajot.2023.050210.,Huang CY,Am J Occup Ther,2023,2023/10/12,PMC10594954,,10.5014/ajot.2023.050210
236,30723231,Effects and Components of Placebos with a Psychological Treatment Rationale - Three Randomized-Controlled Studies,"Gaab J, Kossowsky J, Ehlert U, Locher C.",Sci Rep. 2019 Feb 5;9(1):1421. doi: 10.1038/s41598-018-37945-1.,Gaab J,Sci Rep,2019,2019/02/07,PMC6363794,,10.1038/s41598-018-37945-1
237,14694847,"[The Irlen syndrome--are there pathophysiologic correlates and scientific evidence for ""reading with colors""?]","Döhnert M, Englert ED.",Z Kinder Jugendpsychiatr Psychother. 2003 Nov;31(4):305-9. doi: 10.1024/1422-4917.31.4.305.,Döhnert M,Z Kinder Jugendpsychiatr Psychother,2003,2003/12/26,,,10.1024/1422-4917.31.4.305
238,32881914,Assessing dehydration status in dengue patients using urine colourimetry and mobile phone technology,"Chew N, Noor Azhar AM, Bustam A, Azanan MS, Wang C, Lum LCS.",PLoS Negl Trop Dis. 2020 Sep 3;14(9):e0008562. doi: 10.1371/journal.pntd.0008562. eCollection 2020 Sep.,Chew N,PLoS Negl Trop Dis,2020,2020/09/04,PMC7470395,,10.1371/journal.pntd.0008562
239,10439146,A study of the post-burned restored skin,"Carvalho Ddo A, Mariani U, Gomez Dde S, Gemperli R, Ferreira MC.",Burns. 1999 Aug;25(5):385-94. doi: 10.1016/s0305-4179(98)00177-6.,Carvalho Ddo A,Burns,1999,1999/08/10,,,10.1016/s0305-4179(98)00177-6
240,38285190,European Society of Pediatric Radiology survey of perioperative imaging in pediatric liver transplantation: (3) postoperative imaging,"Dammann E, Ording-Müller LS, Franchi-Abella S, Verhagen MV, McGuirk SP, Bokkers RPH, Clapuyt PRM, Deganello A, Tandoi F, de Ville de Goyet J, Hebelka H, de Lange C, Lozach C, Marra P, Mirza D, Kaliciński P, Patsch JM, Perucca G, Tsiflikas I, Renz DM, Schweiger B, Spada M, Toso S, Viremouneix L, Woodley H, Fischer L, Brinkert F, Petit P, Herrmann J.",Pediatr Radiol. 2024 Feb;54(2):276-284. doi: 10.1007/s00247-023-05842-z. Epub 2024 Jan 29.,Dammann E,Pediatr Radiol,2024,2024/01/29,PMC10830633,,10.1007/s00247-023-05842-z
241,14315293,MESOCOELIC RECESS IN THE HUMAN BRAIN,RAKIC P.,Neurology. 1965 Aug;15:708-15. doi: 10.1212/wnl.15.8.708.,RAKIC P,Neurology,1965,1965/08/01,,,10.1212/wnl.15.8.708
242,24217026,"Food additives and behavior in 8- to 9-year-old children in Hong Kong: a randomized, double-blind, placebo-controlled trial","Lok KY, Chan RS, Lee VW, Leung PW, Leung C, Leung J, Woo J.",J Dev Behav Pediatr. 2013 Nov-Dec;34(9):642-50. doi: 10.1097/DBP.0000000000000005.,Lok KY,J Dev Behav Pediatr,2013,2013/11/13,,,10.1097/DBP.0000000000000005
243,30785777,Green Breast Milk Following Ingestion of Blue-Green Algae: A Case Report,"Naor N, Fridman E, Kouadio F, Merlob P, Linder N.",Breastfeed Med. 2019 Apr;14(3):203-204. doi: 10.1089/bfm.2018.0184. Epub 2019 Feb 20.,Naor N,Breastfeed Med,2019,2019/02/21,,,10.1089/bfm.2018.0184
244,32124487,Micropigmentation for vitiligo on light to moderately colored skin: Updated evidence from a clinical and animal study,"Ju HJ, Eun SH, Lee HN, Lee JH, Kim GM, Bae JM.",J Dermatol. 2020 May;47(5):464-469. doi: 10.1111/1346-8138.15282. Epub 2020 Mar 2.,Ju HJ,J Dermatol,2020,2020/03/04,,,10.1111/1346-8138.15282
245,26173937,Problems with oral formulations prescribed to children: a focus group study of healthcare professionals,"Venables R, Stirling H, Batchelor H, Marriott J.",Int J Clin Pharm. 2015 Dec;37(6):1057-67. doi: 10.1007/s11096-015-0152-x. Epub 2015 Jul 15.,Venables R,Int J Clin Pharm,2015,2015/07/16,,,10.1007/s11096-015-0152-x
246,38039798,Language systematizes attention: How relational language enhances relational representation by guiding attention,"Yuan L, Novack M, Uttal D, Franconeri S.",Cognition. 2024 Feb;243:105671. doi: 10.1016/j.cognition.2023.105671. Epub 2023 Nov 30.,Yuan L,Cognition,2024,2023/12/01,,,10.1016/j.cognition.2023.105671
247,22771634,In search of the rainbow: colored inks in surgical pathology,Tampi C.,Indian J Pathol Microbiol. 2012 Apr-Jun;55(2):154-7. doi: 10.4103/0377-4929.97843.,Tampi C,Indian J Pathol Microbiol,2012,2012/07/10,,,10.4103/0377-4929.97843
248,14247704,EXUDATIVE LESIONS IN DIABETES MELLITUS,"HORSFIELD GI, LANNIGAN R.",J Clin Pathol. 1965 Jan;18(1):47-53. doi: 10.1136/jcp.18.1.47.,HORSFIELD GI,J Clin Pathol,1965,1965/01/01,PMC472832,,10.1136/jcp.18.1.47
249,11722856,Asthma self-management: the perspective of children,"Pradel FG, Hartzema AG, Bush PJ.",Patient Educ Couns. 2001 Dec 1;45(3):199-209. doi: 10.1016/s0738-3991(01)00123-9.,Pradel FG,Patient Educ Couns,2001,2001/11/28,,,10.1016/s0738-3991(01)00123-9
250,24321321,"A comparison of actual to estimated weights in Australian children attending a tertiary children's' hospital, using the original and updated APLS, Luscombe and Owens, Best Guess formulae and the Broselow tape","Graves L, Chayen G, Peat J, O'Leary F.",Resuscitation. 2014 Mar;85(3):392-6. doi: 10.1016/j.resuscitation.2013.11.024. Epub 2013 Dec 7.,Graves L,Resuscitation,2014,2013/12/11,,,10.1016/j.resuscitation.2013.11.024
251,10846733,Reports of pain by children undergoing rapid palatal expansion,"Needleman HL, Hoang CD, Allred E, Hertzberg J, Berde C.",Pediatr Dent. 2000 May-Jun;22(3):221-6.,Needleman HL,Pediatr Dent,2000,2000/06/10,,,
252,32286461,Success rate of proximal tooth-coloured direct restorations in primary teeth at 24 months: a meta-analysis,"Ortiz-Ruiz AJ, Pérez-Guzmán N, Rubio-Aparicio M, Sánchez-Meca J.",Sci Rep. 2020 Apr 14;10(1):6409. doi: 10.1038/s41598-020-63497-4.,Ortiz-Ruiz AJ,Sci Rep,2020,2020/04/15,PMC7156457,,10.1038/s41598-020-63497-4
253,35149245,Pedi-R-MAPP: The development of a nutritional awareness tool for use in remote paediatric consultations using a modified Delphi consensus,"Marino LV, Collaço NC, Ashton JJ, Cader S, Cooke ML, Cooke LH, Gerasimidis K, Guz-Mark A, Hulst JM, Vranesic Bender D, Huysentruyt K, Joosten K, Kolacek S, Krznaric Z, Meyer R, Nemet D, Niseteo T, Selimoglu MA, Shamir R, Darlington ASE, Beattie RM.",Clin Nutr. 2022 Mar;41(3):661-672. doi: 10.1016/j.clnu.2022.01.009. Epub 2022 Jan 13.,Marino LV,Clin Nutr,2022,2022/02/12,,,10.1016/j.clnu.2022.01.009
254,12138293,Hospital management of children with acute asthma exacerbations in Kuwait: adherence to international guidelines,"Hijazi Z, Abdulmalek AK, Al-Taweel F, Al-Shareda S.",Med Princ Pract. 2002 Jul-Sep;11(3):126-30. doi: 10.1159/000063244.,Hijazi Z,Med Princ Pract,2002,2002/07/26,,,10.1159/000063244
255,19145793,Long-term evaluation of sealants applied with an invasive technique,"Kim J, Shin CH, Park K.",Int Dent J. 2008 Dec;58(6):323-8. doi: 10.1111/j.1875-595x.2008.tb00353.x.,Kim J,Int Dent J,2008,2009/01/17,,,10.1111/j.1875-595x.2008.tb00353.x
